Time_stamp,Seconds,X,Y,Z
1/9/2020 19:06,0.1,0.03756714,0.1516571,0.1742096
1/9/2020 19:06,0.1,0.01373291,0.006256104,0.086242676
1/9/2020 19:06,0.101,0.029006958,0.061843872,-0.037750244
1/9/2020 19:06,0.099,0.08642578,-0.051757812,-0.1373291
1/9/2020 19:06,0.1,0.21592712,0.08016968,-0.2649994
1/9/2020 19:06,0.1,0.03694153,-0.018157959,-0.1678772
1/9/2020 19:06,0.1,-0.012527466,-0.14950562,-0.15138245
1/9/2020 19:06,0.1,-0.056503296,-0.14950562,-0.0713501
1/9/2020 19:06,0.1,-0.04978943,-0.16171265,-0.1214447
1/9/2020 19:06,0.101,0.044891357,-0.13789368,-0.13671875
1/9/2020 19:06,0.099,0.016174316,-0.08657837,-0.11656189
1/9/2020 19:06,0.1,-0.024749756,-0.12261963,-0.14648438
1/9/2020 19:06,0.1,-0.020462036,-0.11834717,-0.16543579
1/9/2020 19:06,0.1,-0.03756714,-0.1782074,-0.17581177
1/9/2020 19:06,0.101,0.015563965,-0.097579956,-0.23384094
1/9/2020 19:06,0.099,0.022277832,-0.09025574,-0.12756348
1/9/2020 19:06,0.1,-0.005203247,-0.09635925,-0.09579468
1/9/2020 19:06,0.1,-3.05E-04,-0.104904175,-0.033477783
1/9/2020 19:06,0.1,-0.028411865,0.058181763,0.03187561
1/9/2020 19:06,0.1,0.014953613,0.060012817,0.13511658
1/9/2020 19:06,0.102,0.034500122,0.12843323,0.17237854
1/9/2020 19:06,0.098,-0.009460449,0.11193848,0.18154907
1/9/2020 19:06,0.1,-0.002151489,0.08628845,0.18031311
1/9/2020 19:06,0.1,-0.011917114,0.2194519,0.1913147
1/9/2020 19:06,0.1,-0.05406189,0.08506775,0.13816833
1/9/2020 19:06,0.1,2.90E-04,0.12232971,0.14855957
1/9/2020 19:06,0.1,-0.040618896,0.1546936,0.176651
1/9/2020 19:06,0.1,-0.00642395,0.12599182,0.12716675
1/9/2020 19:06,0.1,-0.001525879,0.031311035,0.07524109
1/9/2020 19:06,0.1,-3.05E-04,0.039855957,0.060577393
1/9/2020 19:06,0.101,-0.02168274,0.055740356,0.050201416
1/9/2020 19:06,0.099,9.16E-04,0.031311035,0.093566895
1/9/2020 19:06,0.103,0.008239746,0.0844574,0.06791687
1/9/2020 19:06,0.098,0.03327942,0.06674194,0.07279968
1/9/2020 19:06,0.099,0.014953613,0.03741455,0.012954712
1/9/2020 19:06,0.1,-0.023529053,-0.06764221,-0.03652954
1/9/2020 19:06,0.1,-0.010681152,-0.037109375,-0.025543213
1/9/2020 19:06,0.1,-0.007644653,-0.027938843,-0.021255493
1/9/2020 19:06,0.101,-0.007644653,0.002609253,0.00378418
1/9/2020 19:06,0.099,-0.007644653,0.00932312,0.00378418
1/9/2020 19:06,0.1,0.010681152,0.00869751,-0.002929688
1/9/2020 19:06,0.1,-0.002746582,-0.019378662,7.32E-04
1/9/2020 19:06,0.1,-0.011306763,-0.033432007,-0.023101807
1/9/2020 19:06,0.101,0.014343262,0.010543823,-0.01637268
1/9/2020 19:06,0.099,0.06138611,-0.17027283,-0.045700073
1/9/2020 19:06,0.1,0.099868774,-0.14157104,-0.17947388
1/9/2020 19:06,0.1,-0.029632568,-0.030380249,-0.09516907
1/9/2020 19:06,0.101,-0.00579834,-0.049926758,-0.12815857
1/9/2020 19:06,0.099,-0.104156494,-0.11956787,-0.1373291
1/9/2020 19:06,0.1,-0.079711914,-0.096969604,-0.13244629
1/9/2020 19:06,0.1,-0.04307556,-0.053588867,-0.13427734
1/9/2020 19:06,0.1,0.002731323,-0.10307312,-0.11534119
1/9/2020 19:06,0.101,-0.00642395,-0.052978516,-0.07991028
1/9/2020 19:06,0.099,-0.03817749,-0.06764221,-0.058517456
1/9/2020 19:06,0.1,-0.023529053,-0.045043945,-0.038360596
1/9/2020 19:06,0.1,0.022277832,0.030090332,0.020263672
