Time_stamp,Seconds,X,Y,Z,profile,Activity
1/8/2020 17:09,0.1,0.010223389,-0.001998901,-0.011962891,AR,laying
1/8/2020 17:09,0.101,4.58E-04,0.007751465,0.010025024,AR,laying
1/8/2020 17:09,0.099,-0.028259277,-0.011169434,-0.004638672,AR,laying
1/8/2020 17:09,0.1,-0.050857544,0.16537476,0.0362854,AR,laying
1/8/2020 17:09,0.1,0.0309906,-0.06858826,0.06742859,AR,laying
1/8/2020 17:09,0.1,0.001678467,-1.83E-04,0.14318848,AR,laying
1/8/2020 17:09,0.101,-0.26649475,-0.18771362,0.39486694,AR,laying
1/8/2020 17:09,0.099,-0.48701477,-0.19137573,0.9507599,AR,laying
1/8/2020 17:09,0.1,-0.2970276,0.021194458,0.47183228,AR,laying
1/8/2020 17:09,0.1,0.005935669,-1.83E-04,8.54E-04,AR,laying
1/8/2020 17:09,0.101,-0.10093689,-0.04660034,-0.049835205,AR,laying
1/8/2020 17:09,0.099,-0.012374878,0.013870239,0.003295898,AR,laying
1/8/2020 17:09,0.101,0.07559204,-0.010559082,-0.006469727,AR,laying
1/8/2020 17:09,0.099,0.00289917,-0.010559082,-0.041290283,AR,laying
1/8/2020 17:09,0.1,0.13728333,0.013259888,-0.27037048,AR,laying
1/8/2020 17:09,0.101,-0.027648926,-0.111343384,0.004516602,AR,laying
1/8/2020 17:09,0.099,0.00227356,-1.83E-04,0.015518189,AR,laying
1/8/2020 17:09,0.1,-0.026428223,-1.83E-04,0.002075195,AR,laying
1/8/2020 17:09,0.101,-0.06491089,0.05052185,0.005752564,AR,laying
1/8/2020 17:09,0.099,0.08657837,0.005935669,0.010635376,AR,laying
1/8/2020 17:09,0.101,0.022445679,-0.002624512,-0.001586914,AR,laying
1/8/2020 17:09,0.1,-0.008102417,-0.006896973,2.59E-04,AR,laying
1/8/2020 17:09,0.099,-0.027648926,0.004714966,-0.001586914,AR,laying
1/8/2020 17:09,0.101,0.024276733,-0.006286621,0.010635376,AR,laying
1/8/2020 17:09,0.099,-0.022766113,0.001037598,-0.004638672,AR,laying
1/8/2020 17:09,0.101,0.008392334,-0.013000488,-0.001586914,AR,laying
1/8/2020 17:09,0.099,-0.030700684,0.019363403,0.002700806,AR,laying
1/8/2020 17:09,0.1,0.032821655,-0.013000488,0.005142212,AR,laying
1/8/2020 17:09,0.1,-0.026428223,0.005935669,-0.003417969,AR,laying
1/8/2020 17:09,0.1,-0.021530151,0.001663208,-0.005859375,AR,laying
1/8/2020 17:09,0.1,0.003494263,0.002868652,0.008804321,AR,laying
1/8/2020 17:09,0.101,-0.08262634,-0.028884888,-0.009521484,AR,laying
1/8/2020 17:09,0.1,-0.16325378,0.006530762,-0.028457642,AR,laying
